elapsed_ms,active_workers,cpu_pct
18290,4,100.00
18300,4,100.00
18310,4,100.00
18320,4,100.00
18330,4,100.00
18340,4,100.00
18350,4,100.00
18360,4,100.00
18370,4,100.00
18380,4,100.00
18390,4,100.00
18400,4,100.00
18410,4,100.00
18420,4,100.00
18430,4,100.00
18440,4,100.00
18450,4,100.00
18460,4,100.00
18470,4,100.00
18480,4,100.00
18490,4,100.00
18500,4,100.00
18510,4,100.00
18520,4,100.00
18530,4,100.00
18540,4,100.00
18550,4,100.00
18560,4,100.00
18570,4,100.00
18580,4,100.00
18590,4,100.00
18600,4,100.00
18610,4,100.00
18620,4,100.00
18630,4,100.00
18640,4,100.00
18650,4,100.00
18660,4,100.00
18670,4,100.00
18680,4,100.00
18690,4,100.00
18700,4,100.00
18710,4,100.00
18720,4,100.00
18730,4,100.00
18740,4,100.00
18750,4,100.00
18760,4,100.00
18770,4,100.00
18780,4,100.00
18790,4,100.00
18800,4,100.00
18810,4,100.00
18820,4,100.00
18830,4,100.00
18840,4,100.00
18850,4,100.00
18860,4,100.00
18870,4,100.00
18880,4,100.00
18890,4,100.00
18900,4,100.00
18910,4,100.00
18920,4,100.00
18930,4,100.00
18940,4,100.00
18950,4,100.00
18960,4,100.00
18970,4,100.00
18980,4,100.00
18990,4,100.00
19000,4,100.00
19010,4,100.00
19020,4,100.00
19030,4,100.00
19040,4,100.00
19050,4,100.00
19060,4,100.00
19070,4,100.00
19080,4,100.00
19090,4,100.00
19100,4,100.00
19110,4,100.00
19120,4,100.00
19130,4,100.00
19140,4,100.00
19150,4,100.00
19160,4,100.00
19170,4,100.00
19180,4,100.00
19190,4,100.00
19200,4,100.00
19210,4,100.00
19220,4,100.00
19230,4,100.00
19240,4,100.00
19250,4,100.00
19260,4,100.00
19270,4,100.00
19280,4,100.00
19290,4,100.00
19300,4,100.00
19310,4,100.00
19320,4,100.00
19330,4,100.00
19340,4,100.00
19350,4,100.00
19360,4,100.00
19370,4,100.00
19380,4,100.00
19390,4,100.00
19400,4,100.00
19410,4,100.00
19420,4,100.00
19430,4,100.00
19440,4,100.00
19450,4,100.00
19460,4,100.00
19470,4,100.00
19480,4,100.00
19490,4,100.00
19500,4,100.00
19510,4,100.00
19520,4,100.00
19530,4,100.00
19540,4,100.00
19550,4,100.00
19560,4,100.00
19570,4,100.00
19580,4,100.00
19590,4,100.00
19600,4,100.00
19610,4,100.00
19620,4,100.00
19630,4,100.00
19640,4,100.00
19650,4,100.00
19660,4,100.00
19670,4,100.00
19680,4,100.00
19690,4,100.00
19700,4,100.00
19710,4,100.00
19720,4,100.00
19730,4,100.00
19740,4,100.00
19750,4,100.00
19760,4,100.00
19770,4,100.00
19780,4,100.00
19790,4,100.00
19800,4,100.00
19810,4,100.00
19820,4,100.00
19830,4,100.00
19840,4,100.00
19850,4,100.00
19860,4,100.00
19870,4,100.00
19880,4,100.00
19890,4,100.00
19900,4,100.00
19910,4,100.00
19920,4,100.00
19930,4,100.00
19940,4,100.00
19950,4,100.00
19960,4,100.00
19970,4,100.00
19980,4,100.00
19990,4,100.00
20000,4,100.00
20010,4,100.00
20020,4,100.00
20030,4,100.00
20040,4,100.00
20050,4,100.00
20060,4,100.00
20070,4,100.00
20080,4,100.00
20090,4,100.00
20100,4,100.00
20110,4,100.00
20120,4,100.00
20130,4,100.00
20140,4,100.00
20150,4,100.00
20160,4,100.00
20170,4,100.00
20180,4,100.00
20190,4,100.00
20200,4,100.00
20210,4,100.00
20220,4,100.00
20230,4,100.00
20240,4,100.00
20250,4,100.00
20260,4,100.00
20270,4,100.00
20280,4,100.00
20290,4,100.00
20300,4,100.00
20310,4,100.00
20320,4,100.00
20330,4,100.00
20340,4,100.00
20350,4,100.00
20360,4,100.00
20370,4,100.00
20380,4,100.00
20390,4,100.00
20400,4,100.00
20410,4,100.00
20420,4,100.00
20430,4,100.00
20440,4,100.00
20450,4,100.00
20460,4,100.00
20470,4,100.00
20480,4,100.00
20490,4,100.00
20500,4,100.00
20510,4,100.00
20520,4,100.00
20530,4,100.00
20540,4,100.00
20550,4,100.00
20560,4,100.00
20570,4,100.00
20580,4,100.00
20590,4,100.00
20600,4,100.00
20610,4,100.00
20620,4,100.00
20630,4,100.00
20640,4,100.00
20650,4,100.00
20660,4,100.00
20670,4,100.00
20680,4,100.00
20690,4,100.00
20700,4,100.00
20710,4,100.00
20720,4,100.00
20730,4,100.00
20740,4,100.00
20750,4,100.00
20760,4,100.00
20770,4,100.00
20780,4,100.00
20790,4,100.00
20800,4,100.00
20810,4,100.00
20820,4,100.00
20830,4,100.00
20840,4,100.00
20850,4,100.00
20860,4,100.00
20870,4,100.00
20880,4,100.00
20890,4,100.00
20900,4,100.00
20910,4,100.00
20920,4,100.00
20930,4,100.00
20940,4,100.00
20950,4,100.00
20960,4,100.00
20970,4,100.00
20980,4,100.00
20990,4,100.00
21000,4,100.00
21010,4,100.00
21020,4,100.00
21030,4,100.00
21040,4,100.00
21050,4,100.00
21060,4,100.00
21070,4,100.00
21080,4,100.00
21090,4,100.00
21100,4,100.00
21110,4,100.00
21120,4,100.00
21130,4,100.00
21140,4,100.00
21150,4,100.00
21160,4,100.00
21170,4,100.00
21180,4,100.00
21190,4,100.00
21200,4,100.00
21210,4,100.00
21220,4,100.00
21230,4,100.00
21240,4,100.00
21250,4,100.00
21260,4,100.00
21270,4,100.00
21280,4,100.00
21290,4,100.00
21300,4,100.00
21310,4,100.00
21320,4,100.00
21330,4,100.00
21340,4,100.00
21350,4,100.00
